queue,priority,tags,subject,body
Technical Support,high,"Problem Resolution, Software Bug, Technical Support, Urgent Issue",Urgent support required: Jira software problems,"Dear Customer Service, I am writing to report problems with our project tracking and scrum boards after a recent system update. We are using Jira Software 8.20. Project tracking and Scrum boards have failed. This problem needs an immediate solution. Please take a look at the matter urgently. Thank you, <name> Account number: <acc_num> Phone: <tel_num>"
Technical Support,medium,"Hardware Failure, Product Support, Software Bug, Technical Support",Printer connection and duplex problems,"Hello, I have problems with my Canon PIXMA MG3620. It does not work wirelessly and displays inconsistent duplex printing. Please specify a solution for these problems. Thank you, <name>."
Product Support,high,"Network Issue, Product Support, Software Bug, Technical Support",Important: Wi-Fi Connection Problem with Canon PIXMA MG3620 Printer,"Dear Customer Support,

Since the recent firmware update, my Canon PIXMA MG3620 printer is no longer able to connect to Wi-Fi. This issue is affecting my ability to print from my mobile devices, which I rely on. Could you please assist me in resolving this matter quickly?

Thank you,
<name>"
Product Support,medium,"Problem Resolution, Product Support, Software Bug, Technical Support",Frequent faults in macOS with Adobe Photoshop 2024,"Hello, Customer Support, I am facing frequent faults in macOS when trying to apply layer effects on Adobe Photoshop 2024. This problem is severely damaging my design work. Could you please provide assistance to resolve this issue quickly? Thank you, <name>. Contact: <tel_num>."
IT Support,high,"IT Support, Performance Tuning, Technical Support, Urgent Issue",Urgent Assistance Necessary for AWS,"Dear IT support team, My name is <name>, and I urgently need assistance with AWS Management Services. We are currently facing challenges to optimize our AWS costs and we need help in implementing a new scalable infrastructure. This is critically affecting our operations and requires immediate attention. Could you please expedite this request and provide the necessary support as soon as possible? If necessary, I can be contacted at <tel_num> for more details. I expect your prompt assistance."
Technical Support,high,"Problem Resolution, Service Outage, Technical Support, Urgent Issue",Urgent: Server shutdown time,"Dear customer support team, I encounter a problem with server shutdown time with your AWS management service. My account number is <acc_num>. Please advise on troubleshooting steps and an estimated time frame for resolution. This is critical for our business operations. Thank you, <name> Contact: <tel_num>"
Product Support,medium,"Customer Service, Order Issue, Problem Resolution, Returns and Exchanges",Request to Change Delivery Address,"Dear Customer Support, I hope this message will find you well. Recently, I made a request for a Dell XPS 13 9310 laptop. Unfortunately, I need to change the delivery address associated with this request. My account number is <acc_num>. Could you please update the delivery address to the following: <new_address>? Please let me know if any additional information is needed from me. Thank you for your attention to this matter. I await your prompt response."
Product Support,low,"Hardware Failure, Performance Tuning, Product Support, Technical Support",MacBook Air M1 encountering overheating problems during prolonged use,"Dear Tech Online Store support team, I recently purchased a MacBook Air M1 and I encounter overheating problems during long periods of use. In addition, I noticed important energy consumption peaks that affect battery autonomy. This began to occur a few weeks after my purchase. Please advise me if this problem can be solved remotely or if I have to return the product for inspection. Waiting for your assistance."
Technical Support,high,"Hardware Failure, Problem Resolution, Technical Support, Urgent Issue",Power Issue with Dell XPS 13 9310,"Dear Tech Online Store support team, I am experiencing power issues with my Dell XPS 13 9310. Despite being fully charged, the laptop will not turn on. Please advise on how to proceed. Thank you, <name>."
Customer Service,medium,"Customer Service, Product Replacement, Technical Support, Warranty Claim",Request for a replacement guarantee,"Dear Customer Support from Tech Online Store, I am writing to request a warranty replacement for my Canon PIXMA MG3620, as it is no longer printing wirelessly. Despite several troubleshooting attempts, I have not been able to solve the issue. Please direct me on the replacement process. My purchase was made under the account <acc_num>. Thank you for your assistance."
Technical Support,low,"General Inquiry, IT Support, Problem Resolution, Technical Guidance",Necessary assistance for the project,"Dear support team, I need help setting up the implementation diagrams for our consolidation of planned project directories. Using the IT Consulting Service for this task. Thank you. Carefully, <name>."
Technical Support,low,"Hardware Failure, Product Support, System Crash, Technical Support",Urgent: problem with Dell XPS 13 9310,"Dear Tech Online Store Support, I am experiencing a problem with my Dell XPS 13 9310, which occasionally freezes and interrupts my workflow. Could you help me diagnose and solve this problem? Thank you, <name> Account Number: <acc_num> Phone: <tel_num>"
Billing and Payments,medium,"Account Assistance, Billing Issue, Customer Service, Payment Processing",Assistance in updating the payment,"Dear Customer Service, I need assistance to update the payment method of my Microsoft Office 365 subscription to my account. My current payment method is obsolete, and I cannot make any changes to my subscription. My account number is <acc_num>. Please guide me through the necessary steps to update this information as soon as possible. Thank you, <name>"
Technical Support,high,"Hardware Failure, Product Support, Software Bug, Technical Support",Printer connectivity problem after update,"Hi, I am experiencing problems with my Canon PIXMA MG3620 printer. Since the last firmware update, it no longer connects to WiFi. This problem prevents me from using your wireless and double-sided printing capabilities. I have tried to reset the printer and my network, but the problem persists. Can you help me solve this problem as soon as possible? Thank you, <name>, <tel_num>, <acc_num>"
